Field_Number	Sample_Collector	Country	State	Near_Town	Lat	Long	Stage	Month	Day	Year	Pop
97N6799		USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUL	15	1997	6
97N6800		USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUL	15	1997	6
97N6801		USA	NV	Ruby Valley	40.2	-115.48	Breeding	JUL	15	1997	6
96N0277		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0278		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0279		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0280		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0281		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0282		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0283		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0284		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0285		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0291		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUN	28	1996	7
96N0299		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
96N0300		USA	UT	MIDWAY	40.52	-111.48	Breeding	JUL	8	1996	7
05N5979	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	26	2005	8
05N5980	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	26	2005	8
05N5981	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	26	2005	8
05N5982	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	26	2005	8
05N5983	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	26	2005	8
06N1658	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	23	2006	8
06N1659	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	23	2006	8
06N1660	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	23	2006	8
06N1661	GRAHAM TAYLOR	USA	CA	Arcata	40.53	-124.08	Breeding	MAY	23	2006	8
09N1347	Graham Taylor	USA	CA	Arcata	40.53	-124.08	Breeding	JUN	6	2009	8
09N1348	Graham Taylor	USA	CA	Arcata	40.53	-124.08	Breeding	JUN	6	2009	8
02N9746	Laurie Doss	USA	CT	Kent	40.72	-74.36	Breeding	JUN	12	2002	9
06N29507	Laurie Doss	USA	CT	Kent	40.72	-74.36	Breeding	JUN	15	2006	9
06N29508	Laurie Doss	USA	CT	Kent	40.72	-74.36	Breeding	JUN	15	2006	9
06N29545A	Laurie Doss	USA	CT	Kent	40.72	-74.36	Breeding	AUG	3	2006	9
07N21016	Laurie Doss	USA	CT	Kent	40.72	-74.36	Breeding	JUN	25	2007	9
07N21027	Laurie Doss	USA	CT	Kent	40.72	-74.36	Breeding	JUN	26	2007	9
07N34099	Laurie Doss	USA	CT	Kent	40.72	-74.36	Breeding	JUN	13	2008	9
07N18309	Laura Obiso	USA	NJ	Layton	41.1	-74.4	Breeding	JUN	25	2007	NA
07N18343	Laura Obiso	USA	NJ	Layton	41.1	-74.4	Breeding	JUL	12	2007	NA
07N18346	Laura Obiso	USA	NJ	Layton	41.1	-74.4	Breeding	JUL	12	2007	NA
07N18356	Laura Obiso	USA	NJ	Layton	41.1	-74.4	Breeding	JUL	26	2007	NA
07N18361	Laura Obiso	USA	NJ	Layton	41.1	-74.4	Breeding	JUL	26	2007	NA
15N0132	Gary Fowler	USA	OH	Garfield Hts.	41.42	-81.59	Breeding	JUN	7	2015	10
15N0192	Gary Fowler	USA	OH	Garfield Hts.	41.42	-81.59	Breeding	JUL	11	2015	10
14N0211	Gary Fowler	USA	OH	Garfield Hts.	41.43	-81.67	Breeding	MAY	31	2014	10
14N0241	Gary Fowler	USA	OH	Garfield Hts.	41.43	-81.67	Breeding	JUN	14	2014	10
14N0242	Gary Fowler	USA	OH	Garfield Hts.	41.43	-81.67	Breeding	JUN	14	2014	10
14N0282	Gary Fowler	USA	OH	Garfield Hts.	41.43	-81.67	Breeding	JUL	12	2014	10
14N0283	Gary Fowler	USA	OH	Garfield Hts.	41.43	-81.67	Breeding	JUL	12	2014	10
14N0284	Gary Fowler	USA	OH	Garfield Hts.	41.43	-81.67	Breeding	JUL	12	2014	10
14N0285	Gary Fowler	USA	OH	Garfield Hts.	41.43	-81.67	Breeding	JUL	12	2014	10
14N0286	Gary Fowler	USA	OH	Garfield Hts.	41.43	-81.67	Breeding	JUL	12	2014	10
05N4604	SHANNON LUDWIG	USA	CA	Alturas	41.49	-120.55	Breeding	JUL	19	2005	11
05N4605	SHANNON LUDWIG	USA	CA	Alturas	41.49	-120.55	Breeding	JUL	7	2005	11
05N4607	SHANNON LUDWIG	USA	CA	Alturas	41.49	-120.55	Breeding	JUN	6	2005	11
05N4608	SHANNON LUDWIG	USA	CA	Alturas	41.49	-120.55	Breeding	JUN	6	2005	11
05N4609	SHANNON LUDWIG	USA	CA	Alturas	41.49	-120.55	Breeding	JUB	6	2005	11
05N4610	SHANNON LUDWIG	USA	CA	Alturas	41.49	-120.55	Breeding	JUN	6	2005	11
05N4624	SHANNON LUDWIG	USA	CA	Alturas	41.49	-120.55	Breeding	JUL	19	2005	11
05N4625	SHANNON LUDWIG	USA	CA	Alturas	41.49	-120.55	Breeding	JUL	19	2005	11
05N4627	SHANNON LUDWIG	USA	CA	Alturas	41.49	-120.55	Breeding	JUL	27	2005	11
05N4628	SHANNON LUDWIG	USA	CA	Alturas	41.49	-120.55	Breeding	JUL	27	2005	11
97N5446	SHANNON LUDWIG	USA	CA	ALTURAS	41.49	-120.55	Breeding	MAY	10	1997	11
00N5322	LAURIE FORTIN	USA	NY	Stanfordville	41.91	-73.68	Breeding	JUL	31	2000	12
99N1162		USA	NY	Stanfordville	41.91	-73.68	Breeding	JUN	20	1999	12
06N4619	L. Fortin	USA	NY	Stanfordville	41.91	-73.68	Breeding	JUL	24	2005	12
06N4628	L. Fortin	USA	NY	Stanfordville	41.91	-73.68	Breeding	JUL	2	2005	12
06N4633	L. Fortin	USA	NY	Stanfordville	41.91	-73.68	Breeding	JUN	11	2005	12
06N4634	L. Fortin	USA	NY	Stanfordville	41.91	-73.68	Breeding	JUN	11	2005	12
06N4635	L. Fortin	USA	NY	Stanfordville	41.91	-73.68	Breeding	JUN	11	2005	12
99N1157		USA	NY	Stanfordville	41.91	-73.68	Breeding	JUL	5	1999	12
99N1159		USA	NY	Stanfordville	41.91	-73.68	Breeding	JUN	12	1999	12
99N1160		USA	NY	Stanfordville	41.91	-73.68	Breeding	JUN	12	1999	12
99N1161		USA	NY	Stanfordville	41.91	-73.68	Breeding	JUN	20	1999	12
