Field_Number	Sample_Collector	Country	State	Near_Town	Lat	Long	Stage	Month	Day	Year	Pop
08N1182		CAN	ON	Thunder Bay	48.3	-88.94	Breeding	JUN	4	2008	26
08N1183		CAN	ON	Thunder Bay	48.3	-88.94	Breeding	MAY	24	2008	26
08N1184		CAN	ON	Thunder Bay	48.3	-88.94	Breeding	MAY	25	2008	26
08N1185		CAN	ON	Thunder Bay	48.3	-88.94	Breeding	MAY	25	2008	26
08N1189		CAN	ON	Thunder Bay	48.3	-88.94	Breeding	MAY	23	2008	26
08N1190		CAN	ON	Thunder Bay	48.3	-88.94	Breeding	MAY	23	2008	26
3101	Lisle Gibbs	CAN	Alberta	Jasper	52.98	-118.1	Breeding	JUN	NA	NA	27
3102	Lisle Gibbs	CAN	Alberta	Jasper	52.98	-118.1	Breeding	JUN	NA	NA	27
3103	Lisle Gibbs	CAN	Alberta	Jasper	52.98	-118.1	Breeding	JUN	NA	NA	27
3104	Lisle Gibbs	CAN	Alberta	Jasper	52.98	-118.1	Breeding	JUN	NA	NA	27
3105	Lisle Gibbs	CAN	Alberta	Jasper	52.98	-118.1	Breeding	JUN	NA	NA	27
3106	Lisle Gibbs	CAN	Alberta	Jasper	52.98	-118.1	Breeding	JUN	NA	NA	27
3107	Lisle Gibbs	CAN	Alberta	Jasper	52.98	-118.1	Breeding	JUN	NA	NA	27
3108	Lisle Gibbs	CAN	Alberta	Jasper	52.98	-118.1	Breeding	JUN	NA	NA	27
3109	Lisle Gibbs	CAN	Alberta	Jasper	52.98	-118.1	Breeding	JUN	NA	NA	27
96N0117		USA	AK	Beaver Creek	62.68	-141.26	Breeding	JUN	6	1996	28
97N6718		USA	AK	Beaver Creek	62.68	-141.26	Breeding	MAY	21	1997	28
97N6719		USA	AK	Beaver Creek	62.68	-141.26	Breeding	MAY	21	1997	28
97N6720		USA	AK	Beaver Creek	62.68	-141.26	Breeding	MAY	24	1997	28
97N6721		USA	AK	Beaver Creek	62.68	-141.26	Breeding	MAY	31	1997	28
97N6722		USA	AK	Beaver Creek	62.68	-141.26	Breeding	JUN	4	1997	28
97N6723		USA	AK	Beaver Creek	62.68	-141.26	Breeding	JUN	5	1997	28
97N6724		USA	AK	Beaver Creek	62.68	-141.26	Breeding	JUN	5	1997	28
97N6725		USA	AK	Beaver Creek	62.68	-141.26	Breeding	AUG	8	1997	28
97N6726		USA	AK	Beaver Creek	62.68	-141.26	Breeding	AUG	8	1997	28
97N6727		USA	AK	Beaver Creek	62.68	-141.26	Breeding	AUG	9	1997	28
97N5321		USA	AK	Kotzebue	66.88	-162.52	Breeding	JUN	28	1997	29
97N5322		USA	AK	Kotzebue	66.88	-162.52	Breeding	JUN	28	1997	29
97N5323		USA	AK	Kotzebue	66.88	-162.52	Breeding	JUL	20	1997	29
97N5324		USA	AK	Kotzebue	66.88	-162.52	Breeding	JUL	20	1997	29
97N5325		USA	AK	Kotzebue	66.88	-162.52	Breeding	JUN	19	1997	29
97N5326		USA	AK	Kotzebue	66.88	-162.52	Breeding	JUN	19	1997	29
97N5327		USA	AK	Kotzebue	66.88	-162.52	Breeding	JUN	19	1997	29
97N5328		USA	AK	Kotzebue	66.88	-162.52	Breeding	JUN	19	1997	29
97N5329		USA	AK	Kotzebue	66.88	-162.52	Breeding	JUN	19	1997	29
97N5330		USA	AK	Kotzebue	66.88	-162.52	Breeding	JUN	19	1997	29
97N5331		USA	AK	Kotzebue	66.88	-162.52	Breeding	JUN	19	1997	29
06N13117	SANDRA POLCYN	USA	TX	Fairview	33.15	-96.6	Migrant	MAY	3	2006	NA
06N4385	Sandra M. Polcyn	USA	TX	Fairview	33.15	-96.6	Migrant	MAY	7	2006	NA
06N4386	Sandra M. Polcyn	USA	TX	Fairview	33.15	-96.6	Migrant	MAY	7	2006	NA
13N0141	Judy Woods	USA	TX	Fairview	33.15	-96.6	Migrant	MAY	7	2013	NA
08N02329	Sandra M Polcyn	USA	TX	Fairview	33.15	-96.6	Migrant	SEP	10	2008	NA
07N16819	Laura Obiso	USA	NJ	Layton	33.16	-96.62	Migrant	MAY	17	2007	NA
07N16821	Laura Obiso	USA	NJ	Layton	33.16	-96.62	Migrant	MAY	17	2007	NA
07N16836	Laura Obiso	USA	NJ	Layton	33.16	-96.62	Migrant	MAY	22	2007	NA
07N16857	Laura Obiso	USA	NJ	Layton	33.16	-96.62	Migrant	MAY	12	2007	NA
07N16865	Laura Obiso	USA	NJ	Layton	33.16	-96.62	Migrant	MAY	12	2007	NA
07N16868	Laura Obiso	USA	NJ	Layton	33.16	-96.62	Migrant	MAY	12	2007	NA
07N16870	Laura Obiso	USA	NJ	Layton	33.16	-96.62	Migrant	MAY	12	2007	NA
07N16877	Laura Obiso	USA	NJ	Layton	33.16	-96.62	Migrant	MAY	10	2007	NA
07N16878	Laura Obiso	USA	NJ	Layton	33.16	-96.62	Migrant	MAY	10	2007	NA
07N16881	Laura Obiso	USA	NJ	Layton	33.16	-96.62	Migrant	MAY	10	2007	NA
07N16888	Laura Obiso	USA	NJ	Layton	33.16	-96.62	Migrant	MAY	7	2007	NA
07N17300	Julie Craves	USA	NJ	Layton	33.16	-96.62	Migrant	MAY	10	2007	NA
03N5167	MATTHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	12	2003	NA
03N5636	MATTHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	MAY	16	2003	NA
04N9359	MATTHEW VOISINE AND BARBARA RAULSTON	USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	2	2004	NA
05N6870	MATHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	AUG	30	2005	NA
05N6871	MATHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	AUG	30	2005	NA
05N6872	MATHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	AUG	30	2005	NA
05N6873	MATHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	AUG	30	2005	NA
05N6874	MATHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	AUG	30	2005	NA
05N6875	MATHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	AUG	31	2005	NA
05N6876	MATHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	2	2005	NA
05N6877	MATHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	2	2005	NA
05N6878	MATHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	1	2005	NA
05N6879	MATHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	1	2005	NA
05N6880	MATHEW VOISINE	USA	AZ	Cibola	33.37	-114.68	Migrant	AUG	30	2005	NA
05N7301	MATHEW VOSINE	USA	AZ	Cibola	33.37	-114.68	Migrant	MAY	11	2005	NA
05N7302	MATHEW VOSINE	USA	AZ	Cibola	33.37	-114.68	Migrant	MAY	3	2005	NA
06N36757	Joe Kahl	USA	AZ	Cibola	33.37	-114.68	Migrant	AUG	10	2006	NA
06N36765	Chris Dodge	USA	AZ	Cibola	33.37	-114.68	Migrant	OCT	4	2006	NA
06N36767	Chris Dodge	USA	AZ	Cibola	33.37	-114.68	Migrant	OCT	4	2006	NA
06N36770	Chris Dodge	USA	AZ	Cibola	33.37	-114.68	Migrant	OCT	4	2006	NA
06N36771	Chris Dodge	USA	AZ	Cibola	33.37	-114.68	Migrant	OCT	4	2006	NA
06N36772	Chris Dodge	USA	AZ	Cibola	33.37	-114.68	Migrant	OCT	4	2006	NA
07N13039		USA	AZ	Cibola	33.37	-114.68	Migrant	JUL	NA	2007	NA
07N13040		USA	AZ	Cibola	33.37	-114.68	Migrant	JUL	27	2007	NA
07N13041		USA	AZ	Cibola	33.37	-114.68	Migrant	JUL	26	2007	NA
07N13042		USA	AZ	Cibola	33.37	-114.68	Migrant	AUG	14	2007	NA
07N13047		USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	11	2007	NA
07N13048		USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	11	2007	NA
07N13049		USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	11	2007	NA
07N13050		USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	11	2007	NA
07N13051		USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	13	2007	NA
07N13052		USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	13	2007	NA
07N13053		USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	13	2007	NA
07N13054		USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	12	2007	NA
07N13055		USA	AZ	Cibola	33.37	-114.68	Migrant	OCT	5	2007	NA
07N13318		USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	21	2007	NA
07N13551		USA	AZ	Cibola	33.37	-114.68	Migrant	AUG	10	2007	NA
07N13552		USA	AZ	Cibola	33.37	-114.68	Migrant	AUG	13	2007	NA
07N13554		USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	22	2007	NA
07N13555		USA	AZ	Cibola	33.37	-114.68	Migrant	SEP	22	2007	NA
07N16806	Laura Obiso	USA	NJ	Layton	41.1	-74.4	Migrant	MAY	16	2007	NA
