96N0279	0.829	0.129	0.042	
96N0280	0.741	0.006	0.252	
96N0281	0.917	0.013	0.069	
96N0282	0.541	0.006	0.453	
96N0283	0.959	0.034	0.008	
96N0284	0.687	0.063	0.250	
96N0285	0.707	0.028	0.266	
96N0291	0.990	0.003	0.007	
96N0299	0.555	0.005	0.439	
96N0300	0.750	0.010	0.240	
01N4476	0.027	0.757	0.216	
01N4477	0.041	0.467	0.493	
02N1415	0.026	0.708	0.266	
02N1416	0.011	0.776	0.213	
02N1417	0.017	0.704	0.278	
02N1418	0.031	0.819	0.150	
02N1419	0.013	0.742	0.246	
02N1420	0.378	0.609	0.014	
02N1421	0.304	0.682	0.014	
02N1422	0.083	0.726	0.190	
97N6629	0.042	0.806	0.152	
97N6628	0.008	0.970	0.021	
06N35383	0.540	0.004	0.456	
09N17890	0.988	0.002	0.010	
09N18315	0.977	0.005	0.018	
10N16477	0.991	0.002	0.007	
10N16478	0.983	0.003	0.014	
02N1139	0.967	0.009	0.024	
02N1140	0.977	0.007	0.016	
03N4284	0.976	0.007	0.017	
03N6131	0.960	0.028	0.011	
03N6132	0.684	0.004	0.312	
04N7586	0.990	0.004	0.006	
04N7587	0.984	0.002	0.014	
04N7588	0.984	0.002	0.013	
05N5632	0.958	0.020	0.022	
09N17508	0.989	0.002	0.009	
97N6283	0.584	0.005	0.412	
97N6284	0.515	0.003	0.482	
07N28554	0.008	0.831	0.161	
07N28571	0.109	0.820	0.070	
07N28591	0.011	0.549	0.440	
07N28640	0.012	0.572	0.416	
07N28922	0.181	0.809	0.009	
08N21408	0.007	0.729	0.263	
08N21409	0.014	0.671	0.315	
08N21430	0.309	0.671	0.020	
08N21435	0.020	0.349	0.631	
08N21446	0.008	0.850	0.141	
08N21938	0.322	0.666	0.012	
7040	0.007	0.980	0.013	
98N3510	0.008	0.716	0.276	
98N3517	0.008	0.944	0.048	
98N3518	0.022	0.809	0.169	
98N3519	0.010	0.935	0.055	
98N3520	0.012	0.834	0.154	
98N3521	0.013	0.822	0.165	
00N5114	0.529	0.346	0.124	
00N5115	0.820	0.163	0.018	
00N5116	0.409	0.040	0.551	
3101	0.951	0.004	0.044	
3102	0.271	0.010	0.719	
3103	0.550	0.026	0.425	
3104	0.976	0.012	0.013	
3105	0.527	0.006	0.468	
3106	0.450	0.010	0.540	
3107	0.954	0.015	0.031	
3108	0.972	0.018	0.010	
3109	0.386	0.108	0.506	
7037	0.003	0.993	0.004	
7042	0.003	0.994	0.004	
7043	0.002	0.995	0.003	
7044	0.002	0.995	0.003	
